ec:1.1.1.1;ADH1A,ADH1B,ADH1G,ADH4,ADH6,ADH7,ADHX
ec:2.7.1.113;DGUOK
ec:2.7.1.127;IP3KA,IP3KB,IP3KC
ec:2.7.1.134;ITPK1
ec:2.7.1.137;PK3C3
ec:2.7.1.138;CERK1
ec:2.7.1.147;ADPGK
ec:2.7.1.149;PI42A,PI42B,PI42C
ec:2.7.1.150;FYV1
ec:2.7.1.151;IPMK
ec:2.7.1.153;PK3CA,PK3CB,PK3CD,PK3CG
ec:2.7.1.154;P3C2A,P3C2B,P3C2G
ec:2.7.1.157;GALK2
ec:2.7.1.158;IPPK
ec:2.7.1.159;ITPK1
ec:2.7.1.160;TRPT1
ec:2.7.1.164;PSTK
ec:2.7.1.173;NRK1,NRK2
ec:2.7.1.183;SG196
ec:2.7.2.3;PGK1,PGK2
ec:2.7.2.11;P5CS
ec:2.7.3.2;KCRB,KCRM,KCRS,KCRU
ec:2.7.4.2;PMVK
ec:2.7.4.3;KAD1,KAD2,KAD5,KAD6,KAD7,KAD8
ec:2.7.4.4;KAD9
